latitude,longitude,event_date,elevation,slope,aspect,curvature,landslide_type,state,region,source,landslide,provenance,rain_24h,rain_72h,rain_7d,rain_14d,rainfall_intensity
27.12,88.4722,2014-07-15,311.0,33.74,42.35,-5.4427,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (4.56km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,19.4,43.0,90.2,164.2,0.451
27.12,88.4722,2015-12-10,311.0,33.74,42.35,-5.4427,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (4.56km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.9,0.9,7.8,24.6,0.9
27.12,88.4722,2016-08-05,311.0,33.74,42.35,-5.4427,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (4.56km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,3.5,5.6,25.3,443.9,0.625
27.12,88.4722,2017-02-15,311.0,33.74,42.35,-5.4427,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (4.56km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,1.8,2.6,5.3,0.0
27.12,88.5278,2014-01-20,1016.0,12.74,180.0,1.3631,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.75km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.1,5.4,25.7,0.0
27.12,88.5278,2014-07-15,1016.0,12.74,180.0,1.3631,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.75km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,19.4,43.0,90.2,164.2,0.451
27.12,88.5278,2015-12-10,1016.0,12.74,180.0,1.3631,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.75km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.9,0.9,7.8,24.6,0.9
27.12,88.5278,2016-08-05,1016.0,12.74,180.0,1.3631,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.75km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,3.5,5.6,25.3,443.9,0.625
27.12,88.5278,2017-02-15,1016.0,12.74,180.0,1.3631,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.75km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,1.8,2.6,5.3,0.0
27.12,88.5833,2014-01-20,1926.0,28.76,16.01,-5.0156,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.98km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,1.0,10.1,43.3,120.3,0.099
